X,Y,DISTRICT,SITE_ID,PROJECT_NAME,PROJECT_ID,STATUS,PROJECT_MGR,OGC_NUMBER,ISDR_DATE,CONTAMINANTS,OFFSITECOC,ADDRESS,CITY,ZIP5,ZIP4,COUNTY_ID,DATUM_ID,METHOD_ID,FEATURE,OBJECT_OF_INTEREST,PROXIMITY_TO_OBJECT,LAT_DD,LAT_MM,LAT_SS,LONG_DD,LONG_MM,LONG_SS,GIS_ALBX,GIS_ALBY,COLLECT_USERNAME,COLLECT_AFFILIATION,COLLECT_PROGRAM_ID,COLLECT_DATE,MAP_SOURCE,MAP_SOURCE_SCALE,INTERPOLATION_SCALE,COORDINATE_ACCURACY_ID,VERIFY_METHOD_ID,VERIFIER_USERNAME,VERIFIER_AFFILIATION,VERIFYING_PROGRAM_ID,VERIFICATION_DATE,OBJECTID,DOCUMENTS
-82.280568028145623,29.094702145965769,CD,208343,COLONNADES AT ON TOP OF THE WORLD,264430,CLOSED,KRAUS_M,,2002-12-06T00:00:00.000Z,,,SW 92 PL RD,OCALA,34481,,42,NAD83,DGPS,gps at location pesticide,CAP_RAP SITE,EXACT,29,5,40.9081,82,16,50.0327,567066.8,566531.36,,,CL,2003-01-02T00:00:00.000Z,1999 doqs,5000,,4,DPHO,WOEBER_A,DEPARTMENT OF ENVIRONMENTAL PROTECTION,CL,2006-01-11T11:43:12.000Z,2886,http://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/COM_208343/gis-facility!search
-81.429330874389308,28.579543545759091,CD,217385,COMMERCE LOOP,270106,CLOSED,LOTT_R,,2003-06-23T00:00:00.000Z,solvents,N,3815 COMMERCE LOOP,ORLANDO,,,48,NAD83,DPHO,derelict office/warehouse,CAP_RAP SITE,EXACT,28,34,46.3375,81,25,45.5799,650959.27,510772.77,,,CL,2003-07-08T00:00:00.000Z,1999 doqs,5000,,4,DPHO,WOEBER_A,DEPARTMENT OF ENVIRONMENTAL PROTECTION,CL,2005-08-17T07:37:09.000Z,2983,http://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/COM_217385/gis-facility!search
-81.277415171250155,28.806836881899422,CD,214771,CSX TRANSPORTATION SITE OLD MAINTENANCE YARD,268356,CLOSED,MELTON_D,,2003-05-08T00:00:00.000Z," PAHs, PB and As in soils and or gw.",Y,,SANFORD,,,59,NAD83,DPHO,loc of Pb and Ar in soils,CAP_RAP SITE,EXACT,28,48,24.5933,81,16,38.6835,665230,536327,,,CL,2003-05-13T00:00:00.000Z,1999 doqs,5000,,4,DPHO,WOEBER_A,DEPARTMENT OF ENVIRONMENTAL PROTECTION,CL,2005-10-19T11:16:41.000Z,2955,http://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/COM_214771/gis-facility!search
-81.052382230120244,29.199922898755148,CD,157590,DAYTONA BEACH COMMUNITY COLLEGE,226509,CLOSED,ASHTON_K,,1999-06-03T00:00:00.000Z,,,1200 WEST INTERNATIONAL SPEEDWAY,DAYTONA BEACH,32120,,64,NAD83,DPHO,doq,CAP_RAP SITE,EXACT,29,11,59.7026,81,3,8.5651,686104.61,580469.6,,,CL,,1999 doqs,5000,,4,DPHO,WOEBER_A,DEPARTMENT OF ENVIRONMENTAL PROTECTION,CL,2005-12-19T09:54:13.000Z,2048,http://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/COM_157590/gis-facility!search
-81.330894743111742,28.815545577331765,CD,210243,DIRECT FURNISHINGS,265813,CLOSED,MELTON_D,,2002-04-02T00:00:00.000Z,"Tolulene, Xylene",N,240 POWERS CT,SANFORD,,,59,NAD83,DPHO,"loc of xylene, toluene gw",CAP_RAP SITE,EXACT,28,48,55.9446,81,19,51.2099,660000,537180,,,CL,2003-02-11T00:00:00.000Z,1999 doqs,5000,,4,DPHO,WOEBER_A,DEPARTMENT OF ENVIRONMENTAL PROTECTION,CL,2005-10-19T13:49:07.000Z,2907,http://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/COM_210243/gis-facility!search
-81.389115642640448,28.637550393751617,CD,171944,901 MAITLAND CENTER,239893,CLOSED,CARRICK_B,,1999-12-20T00:00:00.000Z,,,901 NORTH LAKE DESTINY DRIVE,MAITLAND,32751,,59,HARN,UNVR,Office Building,CAP_RAP SITE,EXACT,28,38,15.1621,81,23,20.8051,654748,517296,WOEBER_A,DEPARTMENT OF ENVIRONMENTAL PROTECTION,CL,2005-05-02T13:55:59.000Z,1999 doqs,5000,,4,DPHO,WOEBER_A,DEPARTMENT OF ENVIRONMENTAL PROTECTION,CL,2005-12-19T14:18:31.000Z,2314,http://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/COM_171944/gis-facility!search
-81.399943002854627,28.531510590384091,CD,168139,ADAMS PROPERTY - 1401 WEST GORE ST,244672,CLOSED,HOUSTON_G,,2000-07-07T00:00:00.000Z,,,1401 GORE ST,ORLANDO,32805,,48,NAD83,UNVR,,CAP_RAP SITE,EXACT,28,31,53.4189,81,23,59.7836,653940,505500,,,CL,2000-04-04T00:00:00.000Z,1999 doqs,4999,,4,DPHO,WOEBER_A,DEPARTMENT OF ENVIRONMENTAL PROTECTION,CL,2005-08-04T13:54:41.000Z,2466,http://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/COM_168139/gis-facility!search
-81.217606458786904,28.785877045442884,CD,179711,ADESA ORLANDO-SANFORD CAR AND TRUCK WASH,245296,CLOSED,MELTON_D,,2001-05-01T00:00:00.000Z,,,3895 STATE ROAD 46 EAST,SANFORD,,,59,NAD83,DPHO,CHLORINATED SOLVENTS,CAP_RAP SITE,EXACT,28,47,9.1379,81,13,3.3722,671108.05,534130.37,,,CL,,1999 doqs,5000,,4,DPHO,WOEBER_A,DEPARTMENT OF ENVIRONMENTAL PROTECTION,CL,2005-12-19T14:30:40.000Z,2481,http://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/COM_179711/gis-facility!search
-81.302733675342964,28.707988552150059,CD,193471,AFFORDABLE TIRE,254131,CLOSED,MELTON_D,,2002-04-12T00:00:00.000Z,,,200 OLD SANFORD OVIEDO RD,WINTER SPRINGS,,,59,HARN,DPHO,Tire Fire site,CAP_RAP SITE,APPRX,28,42,28.7394,81,18,9.8301,663004.42,525297.78,WOEBER_A,DEPARTMENT OF ENVIRONMENTAL PROTECTION,CL,2005-08-08T09:43:56.000Z,1999 doqs,5000,,4,DPHO,WOEBER_A,DEPARTMENT OF ENVIRONMENTAL PROTECTION,CL,2005-08-08T09:43:56.000Z,2759,http://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/COM_193471/gis-facility!search
-81.308706506889678,28.611722195511049,CD,181086,ALLIED TIRE STORE #10,246324,CLOSED,MELTON_D,,1992-01-29T00:00:00.000Z,,,2040 SEMORAN BLVD,WINTER PARK,,,59,HARN,DPHO,"tce, pce, cis 1,2 dce",CAP_RAP SITE,CENTR,28,36,42.1806,81,18,31.3323,662654.9,514596.93,GRANDE_M,DEPARTMENT OF ENVIRONMENTAL PROTECTION,CL,2005-01-04T08:52:21.000Z,1999 doqs,5000,,4,DPHO,GRANDE_M,DEPARTMENT OF ENVIRONMENTAL PROTECTION,CL,2005-01-04T08:52:21.000Z,2603,http://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/COM_181086/gis-facility!search
-81.403811424305729,28.644532950593423,CD,176349,ALTAMONTE SPRINGS SHOOTING RANGE,242836,CLOSED,HOUSTON_G,,2000-10-23T00:00:00.000Z,,,MCNORTON RD & KELLER ROAD,ALTAMONTE SPRINGS,,,59,HARN,DPHO,lead contaminated soil gw,CAP_RAP SITE,VICIN,28,38,40.2993,81,24,13.7099,653298,518040.95,GRANDE_M,DEPARTMENT OF ENVIRONMENTAL PROTECTION,CL,2004-12-03T08:53:56.000Z,1999 doqs,5000,,4,DPHO,GRANDE_M,DEPARTMENT OF ENVIRONMENTAL PROTECTION,CL,2004-12-03T08:53:55.000Z,2417,http://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/COM_176349/gis-facility!search
-81.422016038927168,28.579112073602779,CD,180001,BARRY'S DRY CLEANERS,267767,CLOSED,MELTON_D,,2003-03-20T00:00:00.000Z,Chorinated Solvent,N,2701 EUNICE AVE SUITE D,ORLANDO,32808,,48,HARN,ADDM,Vinyl Ch at well location,CAP_RAP SITE,APPRX,28,34,44.7842,81,25,19.2465,651674,510740,WOEBER_A,DEPARTMENT OF ENVIRONMENTAL PROTECTION,CL,2005-08-05T13:40:23.000Z,1999 doqs,5000,,4,DPHO,WOEBER_A,DEPARTMENT OF ENVIRONMENTAL PROTECTION,CL,2005-08-12T07:47:27.000Z,2937,http://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/COM_180001/gis-facility!search
-81.465508463512307,28.453230208326897,CD,194274,BATAC ATRIUM TOWER,254801,CLOSED,MELTON_D,,2001-09-18T00:00:00.000Z,,,7680 UNIVERSAL BLVD,ORLANDO,,,48,NAD83,DPHO,TRPH soil,CAP_RAP SITE,APPRX,28,27,11.6096,81,27,55.8192,647716,496675,,,CL,,1999 doqs,5000,,4,DPHO,WOEBER_A,DEPARTMENT OF ENVIRONMENTAL PROTECTION,CL,2005-08-08T11:04:57.000Z,2781,http://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/COM_194274/gis-facility!search
-80.675737467816859,27.951467939818656,CD,159870,BAYSIDE HIGH SCHOOL,237879,CLOSED,HOUSTON_G,,2000-02-14T00:00:00.000Z,,,1901 DEGROODT ROAD,PALM BAY,,,5,NAD83,DPHO,doq/ok,CAP_RAP SITE,EXACT,27,57,5.2658,80,40,32.6445,726391.86,442804.51,,,CL,,1999 doqs,4999,,4,DPHO,WOEBER_A,DEPARTMENT OF ENVIRONMENTAL PROTECTION,CL,2005-08-02T09:04:16.000Z,2269,http://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/COM_159870/gis-facility!search
-81.282232681008978,29.062535165129404,CD,174215,BLACKWING HANGER SITE (FORMER),241338,CLOSED,METCALF_S,,2000-08-30T00:00:00.000Z,,,1300 FLIGHTLINE BLVD,DELAND,32721,,64,NAD83,DPHO,DPHO,CAP_RAP SITE,EXACT,29,3,45.1069,81,16,56.0265,664135,564705,,,CL,,1999 doqs,5000,,4,DPHO,WOEBER_A,DEPARTMENT OF ENVIRONMENTAL PROTECTION,CL,2006-03-15T13:36:20.000Z,2364,http://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/COM_174215/gis-facility!search
-81.377771297658796,28.406943366707733,CD,152150,BRENNTAG MID SOUTH - CLNAO SPILL (FRMR PB&S CHEMICAL),270942,CLOSED,FURGUSSON_W,,2003-07-14T00:00:00.000Z,,,250 CENTRAL FLORIDA PARKWAY,ORLANDO,32824,7601,48,NAD83,DPHO,at loc of fe cl in gw,CAP_RAP SITE,EXACT,28,24,24.977,81,22,39.9655,656399.27,491715,HEAVISIDE_C,Florida Department of Environmental Protection,CL,2011-03-14T00:00:00.000Z,2004_DOQQ,4618,4618,3,DPHO,HEAVISIDE_C,DEPARTMENT OF ENVIRONMENTAL PROTECTION,CL,2011-03-14T11:28:30.000Z,2997,http://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/COM_152150/gis-facility!search
-80.635316487175743,28.063601107447102,CD,154975,BREVARD COUNTY - DAIRY ROAD RETENTION POND C,222728,CLOSED,MEYERS_E,,1998-09-17T00:00:00.000Z,,,,MELBOURNE,,,5,NAD83,DPHO,DOQ-OK,CAP_RAP SITE,APPRX,28,3,48.9451,80,38,7.129,730020.25,455360.85,,,CL,,1999 doqs,5000,,4,DPHO,WOEBER_A,DEPARTMENT OF ENVIRONMENTAL PROTECTION,CL,2006-01-12T10:46:09.000Z,2020,http://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/COM_154975/gis-facility!search
-81.301537586919579,28.565028990103915,CD,214619,BUDGET CAR SALES,268277,CLOSED,KRAUS_M,,2003-01-16T00:00:00.000Z,solvents,N,6363 E. COLONIAL DRIVE,ORLANDO,,,48,NAD83,DPHO,loc of benzene in gw well,CAP_RAP SITE,EXACT,28,33,54.0851,81,18,5.5242,663468.1,509428.46,,,CL,2003-05-15T00:00:00.000Z,1999 doqs,5000,,4,DPHO,WOEBER_A,DEPARTMENT OF ENVIRONMENTAL PROTECTION,CL,2005-08-17T07:19:28.000Z,2951,http://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/COM_214619/gis-facility!search
-81.390123273581182,28.409362644709034,CD,28447,FORMER SONOCO PRODUCTS FACILITY,241006,CLOSED,HOUSTON_G,,2000-07-01T00:00:00.000Z,,,10895 ROCKET BLVD.,ORLANDO,,,48,,DPHO,,CAP_RAP SITE,EXACT,28,24,33.6864,81,23,24.4326,655186.07,491958.11,,,CL,,1999 doqs,5000,,4,DPHO,WOEBER_A,DEPARTMENT OF ENVIRONMENTAL PROTECTION,CL,2006-01-26T13:58:40.000Z,2353,http://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/COM_28447/gis-facility!search
-81.887875236737415,28.796145029827304,CD,155982,FORMER TENNECO #207-08,224161,CLOSED,MEYERS_E,,1998-07-08T00:00:00.000Z,DOQ - OK,,1417 SOUTH 14TH STREET,LEESBURG,,,35,NAD83,UNVR,,CAP_RAP SITE,EXACT,28,47,46.1027,81,53,16.3391,605787.25,533973.92,,,CL,,1999 doqs,4999,,4,DPHO,WOEBER_A,DEPARTMENT OF ENVIRONMENTAL PROTECTION,CL,2006-01-19T13:01:54.000Z,2034,http://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/COM_155982/gis-facility!search
-80.619702175801081,28.033416767083349,CD,174435,FORMER TOUCH OF CLASS CLEANERS - PALM BAY PLAZA,241502,CLOSED,MELTON_D,,2000-06-02T00:00:00.000Z,,,"4711 BABCOCK ST, N.E., SUITE 2",PALM BAY,32905,2805,5,NAD83,DPHO,,CAP_RAP SITE,EXACT,28,2,0.2815,80,37,10.9175,731643.21,452051.96,,,CL,,1999 doqs,4999,,4,DPHO,WOEBER_A,DEPARTMENT OF ENVIRONMENTAL PROTECTION,CL,2005-12-07T13:56:19.000Z,2369,http://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/COM_174435/gis-facility!search
-81.560145445349278,28.721586520222822,CD,209692,FORMER USDA EXPERIMENT FACILITY,265391,CLOSED,KRAUS_M,,2002-11-20T00:00:00.000Z,metals,N,2540 PLYMOUTH OAKS RD,PLYMOUTH,,,48,NAD83,DPHO,"location Pb, Ar, Cr, Cd",CAP_RAP SITE,EXACT,28,43,17.6921,81,33,36.5122,637878.33,526284.94,,,CL,2003-01-31T00:00:00.000Z,1999 doqs,5000,,4,DPHO,WOEBER_A,DEPARTMENT OF ENVIRONMENTAL PROTECTION,CL,2006-01-26T10:22:23.000Z,2901,http://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/COM_209692/gis-facility!search
-81.342075288449408,28.418663258562145,CD,164497,GOAA (MUNITIONS BUNKER),233648,CLOSED,FURGUSSON_W,,1999-12-14T00:00:00.000Z,,,GOAA,ORLANDO,32877,,48,NAD83,UNVR,,CAP_RAP SITE,EXACT,28,25,7.1686,81,20,31.4599,659861,493091.04,,,CL,,1999 doqs,5000,,4,DPHO,WOEBER_A,DEPARTMENT OF ENVIRONMENTAL PROTECTION,CL,2006-01-26T10:30:58.000Z,2191,http://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/COM_164497/gis-facility!search
-81.32469012060912,28.551260180721439,CD,163159,GOAA - NE SECTION EXECUTIVE AIRPORT - OLD LANDFILL,223158,CLOSED,MELTON_D,,1999-03-08T00:00:00.000Z,BTEX,N,ORLANDO EXECUTIVE AIRPORT,ORLANDO,32803,,48,NAD83,UNVR,Airport,CAP_RAP SITE,EXACT,28,33,4.5174,81,19,28.8733,661241.35,507850.4,,,CL,,1999 doqs,4999,,4,DPHO,WOEBER_A,DEPARTMENT OF ENVIRONMENTAL PROTECTION,CL,2005-08-12T11:09:50.000Z,2026,http://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/COM_163159/gis-facility!search
-81.333306146571985,28.415002036494528,CD,157588,GOAA- BUILDING 408,226500,CLOSED,KRAUS_M,,1999-05-17T00:00:00.000Z,TCE,N,8988 TRADEPORT DRIVE,ORLANDO,,,48,NAD83,DPHO,,CAP_RAP SITE,EXACT,28,24,53.9882,81,19,59.891,660726.75,492703.36,,,CL,,1999 doqs,5000,,4,DPHO,WOEBER_A,DEPARTMENT OF ENVIRONMENTAL PROTECTION,CL,2005-10-11T14:37:40.000Z,2047,http://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/COM_157588/gis-facility!search
-81.441851460404024,28.544810536871676,CD,217577,GRIMES TRANSMISSION,270191,CLOSED,KRAUS_M,,2003-09-16T00:00:00.000Z,"Metals, PAHs",N,4726 OLD WINTER GARDEN RD,ORLANDO,32811,,48,NAD83,DPHO,"loc of metals, pah",CAP_RAP SITE,EXACT,28,32,41.2987,81,26,30.654,649872.43,506900.02,KRAUS_M,Florida Department of Environmental Protection,CL,2004-11-03T00:00:00.000Z,1999 doqs,5000,,4,,,,,,2984,http://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/COM_217577/gis-facility!search
-81.308251217475444,28.249684830289212,CD,166748,HOLIDAY CHEVROLET,235768,CLOSED,MELTON_D,,1999-12-17T00:00:00.000Z,,,3550 W 13TH ST,ST. CLOUD,34769,,49,NAD83,DPHO,doq,CAP_RAP SITE,EXACT,28,14,58.8464,81,18,29.6933,663577.09,474400.8,,,CR,2005-01-01T00:00:00.000Z,1999 doqs,5000,,4,DPHO,WOEBER_A,DEPARTMENT OF ENVIRONMENTAL PROTECTION,CL,2006-01-30T15:22:34.000Z,2233,http://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/COM_166748/gis-facility!search
-81.045902729694362,29.241954547868321,CD,154979,HOLY HILL PUBLIC WORKS - CITY OF,222731,CLOSED,ASHTON_K,,1999-04-13T00:00:00.000Z,,,453 LPGA BLVD,HOLY HILL,,,64,NAD83,DPHO,doq-ok,CAP_RAP SITE,EXACT,29,14,31.0165,81,2,45.2389,686621.98,585150.8,,,CL,,1999 doqs,5000,,4,DPHO,WOEBER_A,DEPARTMENT OF ENVIRONMENTAL PROTECTION,CL,2005-12-19T08:20:40.000Z,2021,http://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/COM_154979/gis-facility!search
-80.812380721200213,28.541583135328469,CD,187251,IMPERIAL ESTATES ELEMENTARY SCHOOL,250405,CLOSED,HOUSTON_G,,2001-06-20T00:00:00.000Z,,,900 IMPERIAL ESTATES LANE,TITUSVILLE,,,5,NAD83,DPHO,,CAP_RAP SITE,EXACT,28,32,29.68,80,48,44.56,711203.65,508189.29,,,CL,,1999 doqs,5000,,4,,,,,,2696,http://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/COM_187251/gis-facility!search
-80.939691388037829,29.091379376299361,CD,165809,INLET HARBOR MARINA,222035,CLOSED,CARRICK_B,,1999-12-15T00:00:00.000Z,,,133 INLET HARBOR ROAD,PONCE INLET,32127,,64,HARN,UNVR,Marina on Halifax River,CAP_RAP SITE,CENTR,29,5,28.946,80,56,22.8782,697339.81,568686.98,WOEBER_A,DEPARTMENT OF ENVIRONMENTAL PROTECTION,CL,2005-08-16T08:20:55.000Z,1999 doqs,4999,,4,DPHO,WOEBER_A,DEPARTMENT OF ENVIRONMENTAL PROTECTION,CL,2005-08-16T08:20:55.000Z,2013,http://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/COM_165809/gis-facility!search
-80.606489323285359,28.399930995810958,CD,193527,JAMIESON PROPERTY,254326,CLOSED,MELTON_D,,2001-11-08T00:00:00.000Z,,,    OAK LANE,CAPE CANAVERAL,32920,,5,NAD83,DPHO,btex contamination,CAP_RAP SITE,APPRX,28,23,59.7324,80,36,23.3512,731818.77,492775.61,,,CL,,1999 doqs,5000,,4,DPHO,WOEBER_A,DEPARTMENT OF ENVIRONMENTAL PROTECTION,CL,2006-01-12T14:38:11.000Z,2765,http://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/COM_193527/gis-facility!search
-81.423185093610755,28.551483705155611,CD,174836,DON MEALEY MITSUBISHI,241080,CLOSED,MELTON_D,,2000-08-14T00:00:00.000Z,Chlorinated Solvent,N,3772 WEST COLONIAL DRIVE,ORLANDO,,,48,NAD83,UNVR,,CAP_RAP SITE,EXACT,28,33,5.3221,81,25,23.4551,651624,507670,,,CL,,1999 doqs,5000,,4,DPHO,WOEBER_A,DEPARTMENT OF ENVIRONMENTAL PROTECTION,CL,2005-10-18T10:43:09.000Z,2358,http://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/COM_174836/gis-facility!search
